году	0,1,0.0000000000,0.0000747161
trayham	0,1,0.0000000000,0.0000747161
four	1,2,0.0001611084,0.0001494322
Голливуд	0,1,0.0000000000,0.0000747161
https://t.co/edqbpibd7y	1,0,0.0001611084,0.0000000000
авиабазе	0,1,0.0000000000,0.0000747161
Песня	0,2,0.0000000000,0.0001494322
pic.twitter.com/mbvevo0eni	0,1,0.0000000000,0.0000747161
отвечу	0,1,0.0000000000,0.0000747161
закрыть	0,1,0.0000000000,0.0000747161
https://goodspb.livejournal.com/1045186.html pic.twitter.com/ndgnkklqya	0,1,0.0000000000,0.0000747161
Почему	0,1,0.0000000000,0.0000747161
leanplum	1,0,0.0001611084,0.0000000000
pic.twitter.com/nzvvqugqe8	0,1,0.0000000000,0.0000747161
gloria_adagbon	1,0,0.0001611084,0.0000000000
мясом	0,1,0.0000000000,0.0000747161
http://nola.com 	0,1,0.0000000000,0.0000747161
миллионеров	0,1,0.0000000000,0.0000747161
bild	0,1,0.0000000000,0.0000747161
stabbed	0,4,0.0000000000,0.0002988643
screaming	0,1,0.0000000000,0.0000747161
http://bit.ly/1w6sgce 	0,1,0.0000000000,0.0000747161
answers:…	1,0,0.0001611084,0.0000000000
prize	1,0,0.0001611084,0.0000000000
landesleistung	0,1,0.0000000000,0.0000747161
pic.twitter.com/uxvftjhwch	0,1,0.0000000000,0.0000747161
wednesday	0,3,0.0000000000,0.0002241482
haben	0,6,0.0000000000,0.0004482965
jihad	0,1,0.0000000000,0.0000747161
иностранных	0,1,0.0000000000,0.0000747161
«Зенит»	0,1,0.0000000000,0.0000747161
pic.twitter.com/xnavl8iznc	0,1,0.0000000000,0.0000747161
извиняюсь	0,1,0.0000000000,0.0000747161
наш	0,3,0.0000000000,0.0002241482
specially	0,1,0.0000000000,0.0000747161
saanichgas	1,0,0.0001611084,0.0000000000
https://www.almasdarnews.com/article/20-civilians-killed-terrorist-attacks-across-syria/ …pic.twitter.com/u4r6b3osb6	0,1,0.0000000000,0.0000747161
bacon	0,1,0.0000000000,0.0000747161
http://vk.com/wall-62675857_16831 …	0,1,0.0000000000,0.0000747161
second	1,1,0.0001611084,0.0000747161
Брать	0,1,0.0000000000,0.0000747161
Аферисты-олигархи	0,1,0.0000000000,0.0000747161
noahbookbinder	1,0,0.0001611084,0.0000000000
